
-----------START-----------

------ Making dataset tensor ------
Num of train data and label data : 75, 75
Num of valid data and label data : 45, 45
shape of the train & label :  torch.Size([128, 4, 192, 192]) torch.Size([128, 2, 192, 192])
shape of the valid & label :  torch.Size([128, 4, 192, 192]) torch.Size([128, 2, 192, 192])
------ Done ------

device : cuda

------ Hyper Params ------
learning rate: 1.0000e-04
number of epoch: 100
batch size: 32


------ Start Training ------
Train: EPOCH 0001 / 0100 | LOSS 0.0195
Valid: EPOCH 0001 / 0100 | LOSS 0.0192

Train: EPOCH 0002 / 0100 | LOSS 0.0182
Valid: EPOCH 0002 / 0100 | LOSS 0.0179

Train: EPOCH 0003 / 0100 | LOSS 0.0169
Valid: EPOCH 0003 / 0100 | LOSS 0.0169

Train: EPOCH 0004 / 0100 | LOSS 0.0156
Valid: EPOCH 0004 / 0100 | LOSS 0.0155

Train: EPOCH 0005 / 0100 | LOSS 0.0142
Valid: EPOCH 0005 / 0100 | LOSS 0.0147

Train: EPOCH 0006 / 0100 | LOSS 0.0127
Valid: EPOCH 0006 / 0100 | LOSS 0.0131

Train: EPOCH 0007 / 0100 | LOSS 0.0106
Valid: EPOCH 0007 / 0100 | LOSS 0.0111

Train: EPOCH 0008 / 0100 | LOSS 0.0084
Valid: EPOCH 0008 / 0100 | LOSS 0.0093

Train: EPOCH 0009 / 0100 | LOSS 0.0062
Valid: EPOCH 0009 / 0100 | LOSS 0.0073

Train: EPOCH 0010 / 0100 | LOSS 0.0045
Valid: EPOCH 0010 / 0100 | LOSS 0.0057

Train: EPOCH 0011 / 0100 | LOSS 0.0034
Valid: EPOCH 0011 / 0100 | LOSS 0.0054

Train: EPOCH 0012 / 0100 | LOSS 0.0026
Valid: EPOCH 0012 / 0100 | LOSS 0.0046

Train: EPOCH 0013 / 0100 | LOSS 0.0020
Valid: EPOCH 0013 / 0100 | LOSS 0.0044

Train: EPOCH 0014 / 0100 | LOSS 0.0017
Valid: EPOCH 0014 / 0100 | LOSS 0.0039

Train: EPOCH 0015 / 0100 | LOSS 0.0014
Valid: EPOCH 0015 / 0100 | LOSS 0.0038

Train: EPOCH 0016 / 0100 | LOSS 0.0013
Valid: EPOCH 0016 / 0100 | LOSS 0.0036

Train: EPOCH 0017 / 0100 | LOSS 0.0011
Valid: EPOCH 0017 / 0100 | LOSS 0.0034

Train: EPOCH 0018 / 0100 | LOSS 0.0010
Valid: EPOCH 0018 / 0100 | LOSS 0.0034

Train: EPOCH 0019 / 0100 | LOSS 0.0009
Valid: EPOCH 0019 / 0100 | LOSS 0.0034

Train: EPOCH 0020 / 0100 | LOSS 0.0008
Valid: EPOCH 0020 / 0100 | LOSS 0.0033

Train: EPOCH 0021 / 0100 | LOSS 0.0008
Valid: EPOCH 0021 / 0100 | LOSS 0.0031

Train: EPOCH 0022 / 0100 | LOSS 0.0007
Valid: EPOCH 0022 / 0100 | LOSS 0.0031

Train: EPOCH 0023 / 0100 | LOSS 0.0007
Valid: EPOCH 0023 / 0100 | LOSS 0.0029

Train: EPOCH 0024 / 0100 | LOSS 0.0007
Valid: EPOCH 0024 / 0100 | LOSS 0.0031

Train: EPOCH 0025 / 0100 | LOSS 0.0006
Valid: EPOCH 0025 / 0100 | LOSS 0.0030

Train: EPOCH 0026 / 0100 | LOSS 0.0006
Valid: EPOCH 0026 / 0100 | LOSS 0.0029

Train: EPOCH 0027 / 0100 | LOSS 0.0006
Valid: EPOCH 0027 / 0100 | LOSS 0.0030

Train: EPOCH 0028 / 0100 | LOSS 0.0006
Valid: EPOCH 0028 / 0100 | LOSS 0.0030

Train: EPOCH 0029 / 0100 | LOSS 0.0006
Valid: EPOCH 0029 / 0100 | LOSS 0.0029

Train: EPOCH 0030 / 0100 | LOSS 0.0006
Valid: EPOCH 0030 / 0100 | LOSS 0.0031

Train: EPOCH 0031 / 0100 | LOSS 0.0005
Valid: EPOCH 0031 / 0100 | LOSS 0.0030

Train: EPOCH 0032 / 0100 | LOSS 0.0005
Valid: EPOCH 0032 / 0100 | LOSS 0.0030

Train: EPOCH 0033 / 0100 | LOSS 0.0005
Valid: EPOCH 0033 / 0100 | LOSS 0.0029

Train: EPOCH 0034 / 0100 | LOSS 0.0005
Valid: EPOCH 0034 / 0100 | LOSS 0.0029

Train: EPOCH 0035 / 0100 | LOSS 0.0005
Valid: EPOCH 0035 / 0100 | LOSS 0.0028

Train: EPOCH 0036 / 0100 | LOSS 0.0005
Valid: EPOCH 0036 / 0100 | LOSS 0.0029

Train: EPOCH 0037 / 0100 | LOSS 0.0005
Valid: EPOCH 0037 / 0100 | LOSS 0.0029

Train: EPOCH 0038 / 0100 | LOSS 0.0005
Valid: EPOCH 0038 / 0100 | LOSS 0.0029

Train: EPOCH 0039 / 0100 | LOSS 0.0005
Valid: EPOCH 0039 / 0100 | LOSS 0.0029

Train: EPOCH 0040 / 0100 | LOSS 0.0005
Valid: EPOCH 0040 / 0100 | LOSS 0.0028

Train: EPOCH 0041 / 0100 | LOSS 0.0005
Valid: EPOCH 0041 / 0100 | LOSS 0.0029

Train: EPOCH 0042 / 0100 | LOSS 0.0005
Valid: EPOCH 0042 / 0100 | LOSS 0.0030

Train: EPOCH 0043 / 0100 | LOSS 0.0005
Valid: EPOCH 0043 / 0100 | LOSS 0.0029

Train: EPOCH 0044 / 0100 | LOSS 0.0005
Valid: EPOCH 0044 / 0100 | LOSS 0.0029

Train: EPOCH 0045 / 0100 | LOSS 0.0005
Valid: EPOCH 0045 / 0100 | LOSS 0.0028

Train: EPOCH 0046 / 0100 | LOSS 0.0005
Valid: EPOCH 0046 / 0100 | LOSS 0.0029

Train: EPOCH 0047 / 0100 | LOSS 0.0005
Valid: EPOCH 0047 / 0100 | LOSS 0.0028

Train: EPOCH 0048 / 0100 | LOSS 0.0005
Valid: EPOCH 0048 / 0100 | LOSS 0.0027

Train: EPOCH 0049 / 0100 | LOSS 0.0004
Valid: EPOCH 0049 / 0100 | LOSS 0.0028

Train: EPOCH 0050 / 0100 | LOSS 0.0005
Valid: EPOCH 0050 / 0100 | LOSS 0.0028

Train: EPOCH 0051 / 0100 | LOSS 0.0004
Valid: EPOCH 0051 / 0100 | LOSS 0.0028

Train: EPOCH 0052 / 0100 | LOSS 0.0004
Valid: EPOCH 0052 / 0100 | LOSS 0.0030

Train: EPOCH 0053 / 0100 | LOSS 0.0004
Valid: EPOCH 0053 / 0100 | LOSS 0.0028

Train: EPOCH 0054 / 0100 | LOSS 0.0004
Valid: EPOCH 0054 / 0100 | LOSS 0.0028

Train: EPOCH 0055 / 0100 | LOSS 0.0004
Valid: EPOCH 0055 / 0100 | LOSS 0.0029

Train: EPOCH 0056 / 0100 | LOSS 0.0004
Valid: EPOCH 0056 / 0100 | LOSS 0.0029

Train: EPOCH 0057 / 0100 | LOSS 0.0004
Valid: EPOCH 0057 / 0100 | LOSS 0.0028

Train: EPOCH 0058 / 0100 | LOSS 0.0004
Valid: EPOCH 0058 / 0100 | LOSS 0.0029

Train: EPOCH 0059 / 0100 | LOSS 0.0004
Valid: EPOCH 0059 / 0100 | LOSS 0.0028

Train: EPOCH 0060 / 0100 | LOSS 0.0004
Valid: EPOCH 0060 / 0100 | LOSS 0.0028

Train: EPOCH 0061 / 0100 | LOSS 0.0004
Valid: EPOCH 0061 / 0100 | LOSS 0.0027

Train: EPOCH 0062 / 0100 | LOSS 0.0004
Valid: EPOCH 0062 / 0100 | LOSS 0.0028

Train: EPOCH 0063 / 0100 | LOSS 0.0004
Valid: EPOCH 0063 / 0100 | LOSS 0.0029

Train: EPOCH 0064 / 0100 | LOSS 0.0004
Valid: EPOCH 0064 / 0100 | LOSS 0.0028

Train: EPOCH 0065 / 0100 | LOSS 0.0004
Valid: EPOCH 0065 / 0100 | LOSS 0.0028

Train: EPOCH 0066 / 0100 | LOSS 0.0004
Valid: EPOCH 0066 / 0100 | LOSS 0.0028

Train: EPOCH 0067 / 0100 | LOSS 0.0004
Valid: EPOCH 0067 / 0100 | LOSS 0.0028

Train: EPOCH 0068 / 0100 | LOSS 0.0004
Valid: EPOCH 0068 / 0100 | LOSS 0.0030

Train: EPOCH 0069 / 0100 | LOSS 0.0004
Valid: EPOCH 0069 / 0100 | LOSS 0.0029

Train: EPOCH 0070 / 0100 | LOSS 0.0004
Valid: EPOCH 0070 / 0100 | LOSS 0.0029

Train: EPOCH 0071 / 0100 | LOSS 0.0004
Valid: EPOCH 0071 / 0100 | LOSS 0.0027

Train: EPOCH 0072 / 0100 | LOSS 0.0004
Valid: EPOCH 0072 / 0100 | LOSS 0.0029

Train: EPOCH 0073 / 0100 | LOSS 0.0004
Valid: EPOCH 0073 / 0100 | LOSS 0.0029

Train: EPOCH 0074 / 0100 | LOSS 0.0004
Valid: EPOCH 0074 / 0100 | LOSS 0.0027

Train: EPOCH 0075 / 0100 | LOSS 0.0004
Valid: EPOCH 0075 / 0100 | LOSS 0.0028

Train: EPOCH 0076 / 0100 | LOSS 0.0004
Valid: EPOCH 0076 / 0100 | LOSS 0.0028

Train: EPOCH 0077 / 0100 | LOSS 0.0004
Valid: EPOCH 0077 / 0100 | LOSS 0.0028

Train: EPOCH 0078 / 0100 | LOSS 0.0004
Valid: EPOCH 0078 / 0100 | LOSS 0.0027

Train: EPOCH 0079 / 0100 | LOSS 0.0004
Valid: EPOCH 0079 / 0100 | LOSS 0.0028

Train: EPOCH 0080 / 0100 | LOSS 0.0004
Valid: EPOCH 0080 / 0100 | LOSS 0.0027

Train: EPOCH 0081 / 0100 | LOSS 0.0004
Valid: EPOCH 0081 / 0100 | LOSS 0.0028

Train: EPOCH 0082 / 0100 | LOSS 0.0004
Valid: EPOCH 0082 / 0100 | LOSS 0.0027

Train: EPOCH 0083 / 0100 | LOSS 0.0004
Valid: EPOCH 0083 / 0100 | LOSS 0.0028

Train: EPOCH 0084 / 0100 | LOSS 0.0004
Valid: EPOCH 0084 / 0100 | LOSS 0.0029

Train: EPOCH 0085 / 0100 | LOSS 0.0004
Valid: EPOCH 0085 / 0100 | LOSS 0.0028

Train: EPOCH 0086 / 0100 | LOSS 0.0004
Valid: EPOCH 0086 / 0100 | LOSS 0.0028

Train: EPOCH 0087 / 0100 | LOSS 0.0004
Valid: EPOCH 0087 / 0100 | LOSS 0.0028

Train: EPOCH 0088 / 0100 | LOSS 0.0004
Valid: EPOCH 0088 / 0100 | LOSS 0.0028

Train: EPOCH 0089 / 0100 | LOSS 0.0004
Valid: EPOCH 0089 / 0100 | LOSS 0.0028

Train: EPOCH 0090 / 0100 | LOSS 0.0004
Valid: EPOCH 0090 / 0100 | LOSS 0.0029

